feature_set,model,auc_mean,auc_std,f1_mean,acc_mean,brier_mean
all_features,catboost,0.8295825100329332,0.004450799417541732,0.7644850505197462,0.7467891935448997,0.1674345701384233
all_features,logistic,0.8168354196143109,0.0016680072525548295,0.7637447500336334,0.7391020215300091,0.17272910814751452
early_basic_features,catboost,0.7799300004181231,0.002879300924433315,0.7311435513748868,0.7034786790891645,0.18956378505109275
early_basic_features,logistic,0.7718971502443722,0.0049433732451821385,0.7381765614112483,0.6989784504785003,0.19245812168316667
geography_only,catboost,0.6928876668203287,0.006463472461655776,0.7191852038823635,0.6572607485245779,0.21870642465705312
geography_only,logistic,0.6941153009125299,0.007982468733035882,0.719973253600051,0.6571676430741515,0.21529791566879597
no_city,catboost,0.8293322162819342,0.003873137479825655,0.7641934115908083,0.7463205812353625,0.1674988280543932
no_city,logistic,0.8165673333643341,0.001711225127455461,0.7635440141775166,0.7391021533700691,0.1728529865543499
no_funding_amount_or_rounds,catboost,0.791784996759915,0.0053937678867827165,0.7408828937879894,0.7148216441299269,0.1841227021860222
no_funding_amount_or_rounds,logistic,0.7758441266045829,0.00637663687205314,0.7398635938039383,0.7047907249990376,0.19039131245589713
